WBC,8.10,1.00,,,0.22
RBC,3.85,0.20,,,0.06
HGB,10.0,0.7,,,0.3
HCT,29.3,2.4,,,0.8
MCV,69.6,5.5,,,1.2
MCH,24.8,1.7,,,0.5
MCHC,34.3,2.5,,,0.8
RDW,22.5,2.0,,,0.4
RDW-SD,16.3,2.0,,,0.3
PLT,199,30,,,10
MPV,9.4,1.1,,,0.6
%NRBC,15.0,0.1,,,1.0
#NRBC,1.2,0.0,,,1.0
%NEUT,57.0,11.5,,,1.4
%LYMPH,33.0,7.5,,,1.1
%MONO,6.0,5.0,,,1.1
%EO,3.0,3.8,,,0.2
%BASO,1.0,9.5,,,0.5
%UNCLASS,,,,,1.0
#NEUT,4.6,2.4,,,0.2
#LYMPH,2.7,0.6,,,0.1
#MONO,0.5,0.4,,,0.1
#EO,0.2,0.3,,,0.0
#BASO,0.1,0.9,,,0.0
#UNCLASS,,,,,1.0
%RET,3.95,1.50,,,0.27
#RET,0.32,0.06,,,0.06
HGBr,,,,,0.4